                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.80902,                0.64585,                  1.313,                0.97971,                0.94919,                0.98849,                0.84237,                0.69873,                0.41571,                 1.1786,             0.00064013,             0.00064013,             0.00064013
                     59,                0.79008,                0.62956,                 1.3003,                0.97233,                0.96057,                0.98818,                 0.8409,                0.67246,                0.41278,                 1.1667,             0.00062179,             0.00062179,             0.00062179
                     60,                0.79002,                 0.6229,                 1.2991,                0.97557,                0.95725,                0.98936,                0.84239,                0.67573,                0.41551,                 1.1662,             0.00060345,             0.00060345,             0.00060345
                     61,                0.79248,                0.63861,                  1.291,                0.96931,                0.96161,                0.98962,                 0.8438,                0.66807,                 0.4032,                 1.1694,             0.00058512,             0.00058512,             0.00058512
                     62,                0.79155,                0.62584,                 1.2956,                0.97029,                0.97204,                0.98797,                 0.8479,                0.66551,                 0.3893,                 1.1576,             0.00056678,             0.00056678,             0.00056678
                     63,                 0.7604,                0.59307,                 1.2664,                0.97037,                0.96972,                0.99028,                0.85251,                0.66196,                0.38862,                  1.164,             0.00054844,             0.00054844,             0.00054844
                     64,                0.76542,                0.59382,                 1.2732,                0.97764,                0.97027,                0.98981,                0.85311,                0.65825,                0.38724,                 1.1678,             0.00053011,             0.00053011,             0.00053011
                     65,                0.76406,                0.60101,                 1.2771,                0.97212,                0.96873,                0.98954,                0.85122,                0.65583,                0.38485,                 1.1547,             0.00051177,             0.00051177,             0.00051177
                     66,                0.75953,                0.60025,                 1.2741,                0.97952,                0.96382,                0.99104,                0.85021,                0.65961,                0.37589,                 1.1591,             0.00049343,             0.00049343,             0.00049343
                     67,                0.74634,                0.58655,                 1.2576,                0.97308,                0.97593,                0.99125,                0.85593,                0.64668,                0.37534,                  1.149,              0.0004751,              0.0004751,              0.0004751
                     68,                0.74002,                0.58131,                 1.2609,                0.97996,                0.96068,                0.98882,                0.85382,                0.64671,                 0.3815,                 1.1557,             0.00045676,             0.00045676,             0.00045676
